ID,Case Name,Case Number,Country of Prosecution,Court,Date,Year,Country of Commission,Crimes Charged,Jurisdictional Basis,Jurisdiction Type,Outcome,Outcome Type,Corporate Defendant,Original Language,Specialized Unit,Summary,Key Legal Findings,Decision Link,NGOs,Victims Organizations,Legal Representatives,TRIAL International,UJAR,CFJ Tool,Amnesty,Judicial Decisions Count,Additional Sources
france-habyarimana-widow,Agathe Habyarimana (Widow of President — Non-lieu),N/A,France,Paris Court of Appeal,2023-01-01,2023,Rwanda,Complicity in genocide; Complicity in crimes against humanity,Universal jurisdiction (TPIR law 1996),criminal,Non-lieu (dismissed),other,No,French,,"Agathe Kanziga Habyarimana, widow of assassinated Rwandan President Juvénal Habyarimana, was accused of complicity in genocide for her alleged role in the Hutu Power movement and planning of the genocide. She had lived in France since 1998 under asylum. Despite complaints from CPCR, investigating judges issued a non-lieu. The case was significant for its political dimensions and the debate over the role of the Habyarimana family in the genocide.",Presidential family accountability | Hutu Power leadership | Non-lieu — evidentiary challenges,,CPCR (https://www.collectifpartiescivilesrwanda.fr),,,,,,,0,
france-bnp-paribas-rwanda,BNP Paribas (Rwanda — Complicity in Genocide),N/A,France,Paris Judicial Court,2023-01-01,2023,Rwanda,Complicity in genocide; Complicity in crimes against humanity; Complicity in war crimes,Universal jurisdiction (TPIR law 1996),criminal,Investigation ongoing,ongoing,Yes,French,,"BNP Paribas is under investigation for complicity in the 1994 Rwandan genocide following a complaint by Ibuka France and Sherpa. The bank allegedly facilitated a $1.3 million transfer in June 1994 to a Swiss arms dealer, which was used to purchase weapons for the interim Rwandan government during the genocide. The case represents one of the most significant corporate accountability proceedings for the Rwandan genocide.",Banking complicity in genocide | Arms trade financing | Corporate accountability — Rwanda | Transfer during active genocide,,Sherpa (https://www.asso-sherpa.org); Ibuka (https://ibuka.fr),,,,,,,0,"CPCR — Collectif des parties civiles pour le Rwanda (chroniques d audience, arrêts, lettres de motivation): https://www.collectifpartiescivilesrwanda.fr/proces/ | Amnesty France — Compétence universelle: https://competenceuniverselle.amnesty.fr/"
france-banque-france-rwanda,Banque de France (Rwanda — Complicity in Genocide),N/A,France,Paris Judicial Court,2024-01-01,2024,Rwanda,Complicity in genocide; Complicity in crimes against humanity,Universal jurisdiction,criminal,Complaint filed,ongoing,Yes,French,,"CPCR filed a new complaint against the Banque de France for complicity in the Rwandan genocide, alleging that the institution facilitated financial transactions that supported the genocidal regime. This follows the BNP Paribas complaint and expands the corporate accountability frontier for the 1994 genocide.",Central bank accountability | Financial complicity in genocide | Institutional responsibility,,CPCR (https://www.collectifpartiescivilesrwanda.fr),,,,,,,0,
france-kayondo-rwanda,Pierre Kayondo (Rwanda — Sent to Trial),N/A,France,Paris Assize Court,2025-01-01,2025,Rwanda,Genocide; Crimes against humanity,Universal jurisdiction (TPIR law 1996),criminal,Sent to trial,ongoing,No,French,OCLCH,Pierre Kayondo was referred to the Paris Assize Court for trial on genocide and crimes against humanity charges related to the 1994 Rwandan genocide. He is among the latest in a series of suspects living in France to be sent to trial by the OCLCH and PNAT.,Latest French Rwanda referral | OCLCH ongoing investigations,,CPCR (https://www.collectifpartiescivilesrwanda.fr),,,,,,,0,
france-operation-turquoise,Opération Turquoise (French Military — Rwanda),N/A,France,Paris Judicial Court,2023-01-01,2023,Rwanda,Complicity in genocide; Complicity in crimes against humanity; Rape,Active personality (French soldiers),criminal,Investigation ongoing,ongoing,No,French,,"Investigation into alleged crimes committed by French military personnel during Opération Turquoise in Rwanda (June-August 1994). Complaints include allegations of complicity in genocide through failure to protect Tutsi refugees, and sexual violence against Rwandan women. The case is politically sensitive as it directly implicates the French military's role during the genocide and is linked to broader questions about France's responsibility.",French military accountability | Opération Turquoise role | State complicity allegations | Sexual violence by peacekeepers,,FIDH (https://www.fidh.org); Survie (https://survie.org),,,,,,,0,"CPCR — Collectif des parties civiles pour le Rwanda (chroniques d audience, arrêts, lettres de motivation): https://www.collectifpartiescivilesrwanda.fr/proces/ | Amnesty France — Compétence universelle: https://competenceuniverselle.amnesty.fr/"
france-arms-delivery-rwanda,French Arms Deliveries to Rwanda (1994),N/A,France,Paris Judicial Court,2023-01-01,2023,Rwanda,Complicity in genocide; Complicity in crimes against humanity,Active personality,criminal,Investigation ongoing,ongoing,No,French,,"Investigation into the alleged delivery of French arms to the Rwandan government during the 1994 genocide, despite an international arms embargo. Complaints allege that French officials authorized weapons transfers that directly facilitated the genocide. The case is part of the broader accountability efforts regarding France's role during the Rwandan genocide.",Arms embargo violation | State complicity through arms transfers | French responsibility,,Survie (https://survie.org); FIDH (https://www.fidh.org),,,,,,,0,
belgium-butare-four,Butare Four (Belgium — First UJ Conviction),N/A,Belgium,Brussels Assize Court,2001-06-08,2001,Rwanda,War crimes; Genocide,Universal jurisdiction (1993 Belgian UJ law),criminal,Convicted (12-20 years; 2 life sentences),conviction,No,French,,"The 'Butare Four' trial was the first case in which a Belgian court convicted persons for crimes committed abroad under international law. The four defendants — Vincent Ntezimana (university professor, 12 years), Alphonse Higaniro (SORWAL factory director, 20 years), and Benedictine nuns Sister Gertrude (Consolata Mukangango, 15 years) and Sister Kizito (Julienne Mukabutera, 12 years) — were convicted for their roles in massacres in the Butare prefecture. The nuns were found to have helped Interahamwe militiamen identify Tutsi refugees sheltering in their convent. The case established Belgian courts as a key forum for universal jurisdiction prosecutions.",First Belgian UJ conviction | Religious leaders' accountability | 1993 Belgian UJ law application | Landmark for European UJ,,,,,,,,,1,UJAR 2025: https://trialinternational.org/universal-jurisdiction-tools/universal-jurisdiction-annual-review-ujar/
belgium-ntuyahaga-rwanda,Bernard Ntuyahaga (Rwanda — Belgium),N/A,Belgium,Brussels Assize Court,2007-07-05,2007,Rwanda,War crimes; Murder of Belgian peacekeepers,Passive personality / Universal jurisdiction,criminal,20 years imprisonment,conviction,No,French,,"Former Rwandan army Major Bernard Ntuyahaga was convicted for his role in the murder of ten Belgian UN peacekeepers (UNAMIR Blue Helmets) on April 7, 1994, the first day of the genocide. He had been transferred from the ICTR to Belgium for prosecution. The case was significant as it involved Belgian victims and linked the start of the genocide to the murder of peacekeepers protecting Prime Minister Agathe Uwilingiyimana.",Murder of UN peacekeepers | ICTR transfer to national courts | Passive personality jurisdiction | Start of genocide,,,,,,,,,1,
belgium-neretse-rwanda,Fabien Neretse (Rwanda — Belgium),N/A,Belgium,Brussels Assize Court,2023-12-01,2023,Rwanda,Genocide; War crimes; Murder,Universal jurisdiction / Passive personality,criminal,25 years imprisonment,conviction,No,French,,"Fabien Neretse was convicted by a Brussels Assize Court for genocide and war crimes, including the murder of Belgian nationals, during the 1994 Rwandan genocide. He was found guilty of organizing attacks in the Mataba commune and directly participating in killings. The case was significant as the charges included the murder of Belgian citizens, providing a passive personality jurisdictional basis alongside universal jurisdiction.",Belgian nationals murdered in genocide | Combined UJ and passive personality | 25-year sentence,,,,,,,,,1,UJAR 2025: https://trialinternational.org/universal-jurisdiction-tools/universal-jurisdiction-annual-review-ujar/ | RTBF — Neretsé condamné à 25 ans: https://www.rtbf.be/article/proces-rwanda-fabien-neretse-condamne-a-25-ans-de-reclusion-pour-crime-de-genocide-une-premiere-en-belgique-10393496
belgium-niyonteze-rwanda,Fulgence Niyonteze (Rwanda — Switzerland/Belgium),N/A,Switzerland,Swiss Military Tribunal / Military Court of Appeal,1999-04-30,1999,Rwanda,Murder; Incitement to murder; War crimes,Universal jurisdiction,criminal,14 years imprisonment (reduced on appeal),conviction,No,French,,"Fulgence Niyonteze, a former bourgmestre (mayor) of Mushubati commune, was the first person convicted under universal jurisdiction for the Rwandan genocide in Europe. He was tried by a Swiss military tribunal, which had jurisdiction over war crimes. Initially sentenced to life, his sentence was reduced to 14 years on appeal. The case predated both the Belgian Butare Four trial and all subsequent European UJ proceedings for Rwanda.",First European UJ conviction for Rwanda | Swiss military tribunal jurisdiction | Bourgmestre accountability | Sentence reduced on appeal,,TRIAL International (https://trialinternational.org),,,,,,,0,
colvin-ochlik-syria-france,Marie Colvin & Rémi Ochlik (Syria — Deliberate Killing of Journalists),N/A,France,Paris Judicial Court (Investigating judges),2022-01-01,2022,Syria,War crimes; Crimes against humanity,Nationality principle (Ochlik was French) + universal jurisdiction,criminal,"Ongoing (investigation — 7 arrest warrants issued, incl. Bashar al-Assad)",ongoing,No,French,,"French judicial investigation into the deliberate shelling of an informal press centre in the Baba Amr district of Homs on 22 February 2012, which killed American journalist Marie Colvin and French photojournalist Rémi Ochlik, and wounded French journalist Edith Bouvier and British photographer Paul Conroy. A joint RSF–SIRAJ investigation (2026) confirmed the strike was premeditated: Assad regime intelligence tracked the journalists' satellite signals, an informant identified the press centre's location, and a strategic meeting of senior military and intelligence officers planned the attack the evening before. A former officer of the 64th Artillery Regiment heard the fire order and the radio confirmation 'the shot is on target.' Seven international arrest warrants have been issued, including against former president Bashar al-Assad and intelligence chief Ali Mamlouk. RSF is a civil party in the proceedings. The case may constitute a crime against humanity as the attack was part of a widespread crackdown on civilians and targeted journalists for their reporting.",Deliberate targeting of journalists as war crime | Crimes against humanity — persecution of press | Nationality-based jurisdiction (French victim) | International arrest warrants for heads of state | Premeditated military targeting of civilian press centre,,RSF — Reporters Without Borders (https://rsf.org); SIRAJ — Syrian Investigative Reporting for Accountability Journalism (https://sirajsy.net),,,,,,,0,RSF investigation (Feb 2026): https://rsf.org/en/shot-target-new-investigation-international-crime-killed-journalists-marie-colvin-and-r%C3%A9mi | SIRAJ investigation: https://sirajsy.net/the-shot-is-on-target-new-evidence-exposes-assad-regimes-deliberate-killing-of-journalists-marie-colvin-and-remi-ochlik-in-homs/
amnesty-fr-khaled-n-algeria,Khaled N. (Algeria — Torture),N/A,France,Paris Judicial Court (Pôle crimes contre l'humanité),2010-01-01,2010,Algeria,Torture; Acts of barbarism,Universal jurisdiction (art. 689-2 CPP),criminal,Dismissed (classé sans suite),other,No,French,OCLCH,Complaint filed by a victim against Khaled N. for acts of torture and barbarism committed in Algeria. The case was classified without follow-up (classé sans suite) under the French universal jurisdiction framework based on the Convention Against Torture (Régime 2 — art. 689-1 CPP).,Convention Against Torture — universal jurisdiction | Classé sans suite,,,,,,,,https://competenceuniverselle.amnesty.fr/,0,
